,fiscal_year,stock_code,ind_name1,ind_name2,E_proportion,G_proportion,None_proportion,S_proportion
4695,2018,3303,能源,石油及天然氣,0.3583617747440273,0.1023890784982935,0.098976109215017,0.4402730375426621
4696,2018,8036,資訊科技,軟件服務,0.2903225806451613,0.1096774193548387,0.232258064516129,0.3677419354838709
4697,2018,1301,工業,工業工程,0.3173913043478261,0.117391304347826,0.0978260869565217,0.4673913043478261
4698,2018,665,金融,其他金融,0.3385416666666667,0.109375,0.1510416666666666,0.4010416666666667
4699,2018,643,非必需性消費,紡織及服飾,0.3333333333333333,0.175438596491228,0.087719298245614,0.4035087719298245
4700,2018,1608,公用事業,公用事業,0.3979238754325259,0.0588235294117647,0.0830449826989619,0.4602076124567474
4701,2018,3383,地產建築,地產,0.4192307692307692,0.0346153846153846,0.0807692307692307,0.4653846153846154
4702,2018,893,原材料,一般金屬及礦石,0.375968992248062,0.1124031007751938,0.189922480620155,0.3217054263565891
4703,2018,157,非必需性消費,零售相關,0.3644444444444444,0.0533333333333333,0.1377777777777777,0.4444444444444444
4704,2018,1133,工業,工業工程,0.4248366013071895,0.0588235294117647,0.1372549019607843,0.3790849673202614
4705,2018,8203,工業,工業支援,0.2251655629139073,0.086092715231788,0.0927152317880794,0.5960264900662252
4706,2018,326,非必需性消費,媒體及娛樂,0.3642384105960264,0.0629139072847682,0.1324503311258278,0.4403973509933774
4707,2018,363,綜合企業,綜合企業,0.3565891472868217,0.1007751937984496,0.0542635658914728,0.4883720930232558
4708,2018,1717,必需性消費,食品飲料,0.2142857142857142,0.0608465608465608,0.0846560846560846,0.6402116402116402
4709,2018,8607,非必需性消費,紡織及服飾,0.297029702970297,0.099009900990099,0.1287128712871287,0.4752475247524752
4710,2018,2738,原材料,一般金屬及礦石,0.3552631578947368,0.0592105263157894,0.125,0.4605263157894737
4711,2018,910,地產建築,地產,0.504,0.072,0.096,0.328
4712,2018,8296,非必需性消費,支援服務,0.3274336283185841,0.0884955752212389,0.079646017699115,0.504424778761062
4713,2018,8139,原材料,其他原材料,0.3352601156069364,0.0982658959537572,0.1329479768786127,0.4335260115606936
4714,2018,690,醫療保健,藥品及生物科技,0.3878787878787879,0.109090909090909,0.0909090909090909,0.4121212121212121
4715,2018,1790,公用事業,公用事業,0.5609756097560976,0.048780487804878,0.065040650406504,0.3252032520325203
4716,2018,3633,公用事業,公用事業,0.4804469273743016,0.1005586592178771,0.0949720670391061,0.3240223463687151
4717,2018,8006,非必需性消費,媒體及娛樂,0.3478260869565217,0.1521739130434782,0.0869565217391304,0.4130434782608695
4718,2018,8191,原材料,其他原材料,0.3608247422680412,0.1237113402061855,0.0824742268041237,0.4329896907216495
4719,2018,6822,非必需性消費,家庭電器及用品,0.4615384615384615,0.1124260355029585,0.0532544378698224,0.3727810650887574
4720,2018,1120,非必需性消費,紡織及服飾,0.3513513513513513,0.1013513513513513,0.1081081081081081,0.4391891891891892
4721,2018,2358,非必需性消費,家庭電器及用品,0.2845188284518828,0.0627615062761506,0.1087866108786611,0.5439330543933054
4722,2018,1203,原材料,一般金屬及礦石,0.5698324022346368,0.0279329608938547,0.1508379888268156,0.2513966480446927
4723,2018,1476,金融,其他金融,0.4129692832764505,0.0819112627986348,0.1228668941979522,0.3822525597269625
4724,2018,3320,醫療保健,藥品及生物科技,0.2227602905569007,0.0750605326876513,0.0944309927360774,0.6077481840193705
4725,2018,8416,工業,工業支援,0.4214876033057851,0.140495867768595,0.0495867768595041,0.3884297520661157
4726,2018,8045,資訊科技,軟件服務,0.4193548387096774,0.0967741935483871,0.075268817204301,0.4086021505376344
4727,2018,8270,能源,石油及天然氣,0.5206611570247934,0.0826446280991735,0.1322314049586777,0.2644628099173554
4728,2018,2218,必需性消費,食品飲料,0.3435582822085889,0.0858895705521472,0.1104294478527607,0.4601226993865031
4729,2018,1966,地產建築,地產,0.3891402714932127,0.090497737556561,0.0588235294117647,0.4615384615384615
4730,2019,8211,非必需性消費,紡織及服飾,0.3368983957219251,0.1122994652406417,0.0855614973262032,0.46524064171123
4731,2018,8232,非必需性消費,旅遊及休閒設施,0.3255813953488372,0.1046511627906976,0.0581395348837209,0.5116279069767442
4732,2018,1240,地產建築,地產,0.421259842519685,0.0748031496062992,0.0748031496062992,0.4291338582677165
4733,2018,2363,資訊科技,資訊科技器材,0.4791666666666667,0.0729166666666666,0.0416666666666666,0.40625
4734,2018,311,非必需性消費,紡織及服飾,0.2965116279069767,0.063953488372093,0.0697674418604651,0.5697674418604651
4735,2018,8305,地產建築,建築,0.3740458015267175,0.0916030534351145,0.099236641221374,0.4351145038167939
