股票代號,名稱,行業代碼,行業,業務代碼,業務類別,業務子代碼,業務子類別
2189,嘉濤(香港)控股,23,非必需性消費,2360,支援服務,236020,其他支援服務
2190,歸創通橋-B,28,醫療保健,2820,醫療保健設備及服務,282010,醫療保健設備
2192,醫脈通,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
2193,萬景控股,60,地產建築,6020,建築,602030,重型基建
2195,盈滙企業控股,60,地產建築,6020,建築,602020,建築及服務
2196,復星醫藥,28,醫療保健,2810,藥品及生物科技,281010,藥品
2197,三葉草生物-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2198,中國三江化工,5,原材料,530,其他原材料,53040,特殊化工用品
2199,維珍妮,23,非必需性消費,2330,紡織及服飾,233020,服裝
2202,萬科企業,60,地產建築,6010,地產,601020,地產發展商
2203,腦洞科技,70,資訊科技,7030,半導體,703010,半導體
2205,康橋悅生活,60,地產建築,6010,地產,601050,物業管理及服務
2207,融信服務,60,地產建築,6010,地產,601050,物業管理及服務
2208,金風科技,10,工業,1010,工業工程,101030,環保工程
2209,喆麗控股,70,資訊科技,7020,軟件服務,702020,電商及互聯網服務
2210,京城佳業,60,地產建築,6010,地產,601050,物業管理及服務
2211,大健康國際,28,醫療保健,2810,藥品及生物科技,281010,藥品
2212,高鵬礦業,5,原材料,520,一般金屬及礦石,52040,其他金屬及礦石
2215,德信服務,60,地產建築,6010,地產,601050,物業管理及服務
2216,堃博醫療-B,28,醫療保健,2820,醫療保健設備及服務,282010,醫療保健設備
2217,譚仔國際,23,非必需性消費,2340,旅遊及休閒設施,234060,餐飲
2218,安德利果汁,25,必需性消費,2510,食品飲料,251030,非酒精飲料
2219,朝聚眼科,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
2221,創業集團控股,60,地產建築,6020,建築,602030,重型基建
2222,雷士國際,23,非必需性消費,2320,家庭電器及用品,232040,家具
2223,卡撒天嬌,23,非必需性消費,2320,家庭電器及用品,232040,家具
2225,今海國際,23,非必需性消費,2360,支援服務,236020,其他支援服務
2226,老恒和釀造,25,必需性消費,2510,食品飲料,251050,食品添加劑
2227,守益控股,60,地產建築,6020,建築,602020,建築及服務
2230,羚邦集團,23,非必需性消費,2350,媒體及娛樂,235030,影視娛樂
2231,景業名邦集團,60,地產建築,6010,地產,601020,地產發展商
2232,晶苑國際,23,非必需性消費,2330,紡織及服飾,233020,服裝
2233,西部水泥,60,地產建築,6020,建築,602010,建築材料
2235,微泰醫療-B,28,醫療保健,2820,醫療保健設備及服務,282010,醫療保健設備
2236,惠生工程,0,能源,10,石油及天然氣,1020,油氣設備與服務
2237,中國石墨,5,原材料,520,一般金屬及礦石,52040,其他金屬及礦石
2238,廣汽集團,23,非必需性消費,2310,汽車,231010,汽車
2239,國微控股,70,資訊科技,7010,資訊科技器材,701010,電訊設備
2245,力勤資源,5,原材料,520,一般金屬及礦石,52040,其他金屬及礦石
2246,快狗打車,10,工業,1020,工業運輸,102030,航空貨運及物流
2250,小黃鴨德盈,70,資訊科技,7020,軟件服務,702020,電商及互聯網服務
2251,鷹瞳科技-B,28,醫療保健,2820,醫療保健設備及服務,282010,醫療保健設備
2252,微創機器人-B,28,醫療保健,2820,醫療保健設備及服務,282010,醫療保健設備
2255,海昌海洋公園,23,非必需性消費,2340,旅遊及休閒設施,234070,休閒及文娛設施
2256,和譽-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2257,聖諾醫藥-B,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2258,華滋國際海洋,60,地產建築,6020,建築,602030,重型基建
2260,環龍控股,10,工業,1010,工業工程,101020,工業零件及器材
2262,梁志天設計集團,60,地產建築,6020,建築,602020,建築及服務
2263,富石金融,50,金融,5030,其他金融,503010,證券及經紀
2265,鴻承環保科技,10,工業,1010,工業工程,101030,環保工程
2266,黎氏企業,60,地產建築,6020,建築,602020,建築及服務
2269,藥明生物,28,醫療保健,2810,藥品及生物科技,281020,生物科技
2270,德商產投服務,60,地產建築,6010,地產,601050,物業管理及服務
2273,固生堂,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
2276,康耐特光學,10,工業,1010,工業工程,101020,工業零件及器材
2278,海藍控股,60,地產建築,6010,地產,601020,地產發展商
2279,雍禾醫療,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
2280,慧聰集團,70,資訊科技,7020,軟件服務,702020,電商及互聯網服務
2281,興瀘水務,40,公用事業,4000,公用事業,400030,水務
2282,美高梅中國,23,非必需性消費,2340,旅遊及休閒設施,234030,賭場及博彩
2283,東江集團控股,10,工業,1010,工業工程,101020,工業零件及器材
2285,泉峰控股,23,非必需性消費,2320,家庭電器及用品,232010,家庭電器
2286,辰興發展,60,地產建築,6010,地產,601020,地產發展商
2288,宏基資本,60,地產建築,6010,地產,601020,地產發展商
2289,創美藥業,28,醫療保健,2810,藥品及生物科技,281010,藥品
2291,心泰醫療,28,醫療保健,2820,醫療保健設備及服務,282010,醫療保健設備
2292,晉安實業,60,地產建築,6010,地產,601030,地產投資
2293,百本醫護,28,醫療保健,2820,醫療保健設備及服務,282020,醫療及醫學美容服務
2295,豐城控股,60,地產建築,6020,建築,602030,重型基建
2296,華記環球集團,60,地產建築,6020,建築,602020,建築及服務
